baton,6
shame,6
trade,3
horny,5
junta,3
rehab,5
study,5
rouse,5
ratty,5
essay,3
winch,5
tacky,4
state,3
bleak,3
crook,5
setup,3
leafy,5
couch,5
giddy,5
slope,3
drier,3
liken,5
adult,2
pitch,4
bathe,3
occur,4
abbot,4
drape,3
slimy,3
weigh,4
musty,6
perch,4
broth,4
lefty,4
issue,3
brain,6
ionic,5
barge,5
pause,3
piney,4
chasm,3
flout,3
manor,6
curve,3
snarl,3
party,3
vigor,4
crypt,4
lunge,5
shied,4
chest,3
taint,3
trick,4
singe,5
safer,2
burst,4
twist,4
harpy,5
above,5
exist,3
patch,4
major,5
acute,3
salon,3
minty,3
blink,4
taken,3
forgo,4
suite,4
mealy,5
pudgy,3
slosh,3
gross,5
fatty,4
metro,3
camel,4
drank,6
frank,5
tawny,3
rural,4
fauna,5
spurn,6
widen,5
grave,6
leech,5
snare,3
rigid,4
focal,4
taffy,6
opine,5
polka,3
crest,5
stamp,6
rumba,4
nanny,6
money,4
froth,5
voice,4
crump,4
outdo,4
